device_id, stream_id, kernel id, kernel mangled name, grid_dimX, grid_dimY, grid_dimZ, #blocks, block_dimX, block_dimY, block_dimZ, #threads, total_insts, total_reported_insts
0, 0, kernel-1.trace, _Z12lud_diagonalPfii, 1, 1, 1, 1, 16, 1, 1, 16, 10636,10636
0, 0, kernel-2.trace, _Z13lud_perimeterPfii, 3, 1, 1, 3, 32, 1, 1, 32, 20898,20898
0, 0, kernel-3.trace, _Z12lud_internalPfii, 3, 3, 1, 9, 16, 16, 1, 256, 12672,12672
0, 0, kernel-4.trace, _Z12lud_diagonalPfii, 1, 1, 1, 1, 16, 1, 1, 16, 10636,10636
0, 0, kernel-5.trace, _Z13lud_perimeterPfii, 2, 1, 1, 2, 32, 1, 1, 32, 13932,13932
0, 0, kernel-6.trace, _Z12lud_internalPfii, 2, 2, 1, 4, 16, 16, 1, 256, 5632,5632
0, 0, kernel-7.trace, _Z12lud_diagonalPfii, 1, 1, 1, 1, 16, 1, 1, 16, 10636,10636
0, 0, kernel-8.trace, _Z13lud_perimeterPfii, 1, 1, 1, 1, 32, 1, 1, 32, 6966,6966
0, 0, kernel-9.trace, _Z12lud_internalPfii, 1, 1, 1, 1, 16, 16, 1, 256, 1408,1408
0, 0, kernel-10.trace, _Z12lud_diagonalPfii, 1, 1, 1, 1, 16, 1, 1, 16, 11686,11686
